Marca;Modelo;Combustible;Transmisión;Estado;Año matricula;Kilometraje;Potencia;Precio
Volkswagen;Scirocco;Gasolina;Manual;Usado;05/2012;83100;122.0;9999.0
Volkswagen;Golf;Gasolina;Automática;Usado;09/2010;99780;211.0;10880.0
Audi;A3;Diesel;Manual;Usado;10/2012;58460;140.0;10900.0
Opel;Astra;Gasolina;Manual;Usado;05/2016;44500;140.0;10979.0
Audi;A5;Gasolina;Manual;Usado;01/2011;99901;179.0;10990.0
Peugeot;RCZ;Gasolina;Manual;Usado;10/2010;63400;156.0;10990.0
Volkswagen;Scirocco;Gasolina;Manual;Usado;05/2014;86500;122.0;10995.0
Opel;Astra;Gasolina;Manual;Usado;05/2016;52000;120.0;11990.0
MINI;John Cooper Works;Gasolina;Manual;Usado;06/2012;80337;211.0;12390.0
Volkswagen;CC;Diesel;Manual;Usado;11/2012;95865;140.0;12490.0
Mercedes-Benz;CLC;Gasolina;Automática;Usado;01/2011;57000;143.0;12990.0
Audi;A3;Diesel;Manual;Usado;04/2014;95500;150.0;13898.0
Dacia;Duster;Gasolina;Manual;Usado;12/2015;69114;125.0;6590.0
Dacia;Duster;Gasolina;Manual;Usado;08/2011;94209;105.0;6980.0
Kia;Soul;Gasolina;Manual;Usado;12/2012;90000;126.0;7699.0
Nissan;Juke;Gasolina;Automática;Usado;08/2011;32000;117.0;7799.0
Skoda;Yeti;Gasolina;Manual;Usado;07/2013;99000;105.0;7850.0
Renault;Captur;Gasolina;Manual;Usado;07/2013;63060;90.0;7970.0
Renault;Clio;Diesel;Automática;Usado;08/2015;98302;90.0;7990.0
Dacia;Duster;Gasolina;Manual;Usado;11/2012;57900;105.0;7990.0
Skoda;Yeti;Gasolina;Manual;Usado;10/2013;96544;105.0;7990.0
Peugeot;2008;Diesel;Manual;Usado;05/2013;61300;114.0;8490.0
Renault;Captur;Gasolina;Manual;Usado;07/2015;63000;90.0;8490.0
Nissan;Juke;Gasolina;Manual;Usado;01/2014;69665;94.0;8690.0
Renault;Captur;Gasolina;Manual;Usado;03/2015;89500;90.0;8795.0
Skoda;Yeti;Gasolina;Manual;Usado;05/2013;70800;122.0;8830.0
Hyundai;Tucson;Diesel;Manual;Usado;04/2012;81400;116.0;8980.0
Dacia;Duster;Gasolina;Manual;Usado;07/2015;60055;105.0;8990.0
Fiat;Panda;Diesel;Manual;Usado;12/2014;74600;75.0;8990.0
Dacia;Duster;Diesel;Manual;Usado;05/2015;80310;110.0;8990.0
Ford;Kuga;Diesel;Manual;Usado;10/2010;90000;140.0;8998.0
Chevrolet;Captiva;Gasolina;Manual;Usado;07/2012;81182;167.0;8999.0
Fiat;Panda;Gasolina;Manual;Usado;07/2010;68800;54.0;3990.0
Dacia;Logan;Gasolina;Manual;Usado;04/2015;100000;90.0;4499.0
Renault;Clio;Gasolina;Manual;Usado;10/2012;97895;75.0;4650.0
Skoda;Fabia;Gasolina;Manual;Usado;06/2011;69985;69.0;4795.0
Renault;Clio;Gasolina;Manual;Usado;01/2010;91800;101.0;4950.0
Skoda;Fabia;Gasolina;Manual;Usado;04/2010;70811;86.0;4990.0
Dacia;Logan;Gasolina;Manual;Usado;05/2016;79556;73.0;5440.0
Skoda;Fabia;Gasolina;Manual;Usado;06/2012;74000;69.0;5590.0
MINI;One;Gasolina;Manual;Usado;02/2011;59000;75.0;6199.0
Skoda;Fabia;Gasolina;Manual;Usado;02/2013;75771;86.0;6390.0
Dacia;Logan;Gasolina;Manual;Usado;09/2015;89475;90.0;6480.0
Skoda;Fabia;Gasolina;Automática;Usado;05/2011;100000;105.0;6490.0
Skoda;Fabia;Gasolina;Manual;Usado;07/2012;92900;105.0;6790.0
Skoda;Rapid/Spaceback;Gasolina;Manual;Usado;01/2015;39900;86.0;6890.0
Opel;Meriva;Gasolina;Manual;Usado;11/2011;86435;120.0;6950.0
Peugeot;308;Gasolina;Automática;Usado;04/2011;79000;156.0;6980.0
Renault;Megane;Gasolina;Manual;Usado;07/2014;80257;110.0;6990.0
Dacia;Logan;Gasolina;Manual;Usado;02/2013;56200;105.0;7250.0
SEAT;Ibiza;Diesel;Manual;Usado;08/2015;57459;75.0;7280.0
Ford;B-Max;Gasolina;Manual;Usado;04/2013;63258;90.0;7450.0
Citroen;C4;Gasolina;Manual;Usado;06/2010;64702;120.0;3750.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;09/2014;100000;71.0;3825.0
Peugeot;107;Gasolina;Manual;Usado;12/2011;76600;68.0;3950.0
Renault;Twingo;Gasolina;Manual;Usado;03/2012;85700;75.0;3986.0
Chevrolet;Aveo;Gasolina;Manual;Usado;05/2012;87000;86.0;4490.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;06/2011;98513;90.0;4490.0
Peugeot;308;Gasolina;Manual;Usado;08/2010;88192;156.0;4800.0
Fiat;Punto Evo;Gasolina;Manual;Usado;07/2011;68550;69.0;4900.0
Fiat;Panda;Gasolina;Manual;Usado;06/2012;40102;69.0;4970.0
Ford;Fiesta;Gasolina;Manual;Usado;03/2012;78280;82.0;4980.0
Opel;Corsa;Gasolina;Manual;Usado;07/2010;68700;87.0;4980.0
Suzuki;Splash;Gasolina;Manual;Usado;03/2010;42000;65.0;4990.0
Hyundai;i10;Gasolina;Manual;Usado;12/2015;90000;88.0;4999.0
Opel;Corsa;Gasolina;Manual;Usado;06/2014;82267;69.0;5470.0
Opel;Corsa;Gasolina;Manual;Usado;04/2015;64105;69.0;5480.0
Opel;Corsa;Gasolina;Manual;Usado;03/2013;94400;101.0;5489.0
Hyundai;i20;Gasolina;Manual;Usado;03/2012;50000;77.0;5490.0
Hyundai;i30;Gasolina;Manual;Usado;04/2010;96516;109.0;5650.0
Peugeot;207;Gasolina;Automática;Usado;05/2011;69805;120.0;5749.0
Suzuki;Celerio;Gasolina;Manual;Usado;11/2016;21000;68.0;5780.0
Citroen;Nemo;Diesel;Manual;Usado;05/2010;99409;68.0;3590.0
Opel;Combo;Diesel;Automática;Usado;01/2010;100000;75.0;4999.0
Skoda;Roomster;Gasolina;Manual;Usado;03/2015;51472;86.0;5660.0
Daihatsu;Materia;Gasolina;Automática;Usado;04/2010;95737;103.0;5990.0
Dacia;Lodgy;Gasolina;Manual;Usado;02/2013;31843;83.0;5990.0
Volkswagen;up!;Gasolina;Manual;Usado;11/2016;51178;60.0;6131.0
Opel;Meriva;Gasolina;Manual;Usado;12/2010;89150;101.0;6200.0
Nissan;Note;Gasolina;Manual;Usado;04/2012;33517;88.0;6440.0
Mercedes-Benz;A 160;Gasolina;Manual;Usado;01/2011;84611;95.0;6489.0
Volkswagen;Golf Plus;Gasolina;Manual;Usado;11/2010;90000;105.0;6950.0
Nissan;Note;Gasolina;Manual;Usado;07/2014;94100;98.0;6970.0
Opel;Meriva;Gasolina;Manual;Usado;03/2012;48125;101.0;6980.0
Opel;Meriva;Gasolina;Manual;Usado;03/2011;35000;101.0;6997.0
Hyundai;iX20;Gasolina;Manual;Usado;03/2014;99900;90.0;7399.0
Hyundai;iX20;Gasolina;Manual;Usado;09/2014;86180;90.0;7490.0
Hyundai;iX20;Gasolina;Manual;Usado;06/2011;60210;90.0;7580.0
Hyundai;iX20;Gasolina;Manual;Usado;06/2015;97100;90.0;7600.0
Citroen;Berlingo;Gasolina;Manual;Usado;10/2011;73762;120.0;7648.0
Opel;Meriva;Gasolina;Manual;Usado;08/2011;42981;120.0;7850.0
Renault;Kangoo;Diesel;Manual;Usado;02/2014;92503;90.0;7940.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;03/2012;82700;69.0;4990.0
Mitsubishi;Colt;Gasolina;Manual;Usado;10/2010;76381;95.0;4990.0
Peugeot;207;Gasolina;Manual;Usado;05/2011;50000;95.0;4999.0
Opel;Corsa;Gasolina;Manual;Usado;07/2012;99350;87.0;5250.0
SEAT;Mii;Gasolina;Manual;Usado;06/2015;81200;60.0;5429.0
Ford;Fiesta;Gasolina;Manual;Usado;03/2011;76510;60.0;5440.0
Volkswagen;up!;Gasolina;Manual;Usado;07/2016;85500;60.0;5450.0
Citroen;C1;Gasolina;Manual;Usado;04/2011;36032;68.0;5450.0
Suzuki;Splash;Gasolina;Manual;Usado;12/2010;55615;86.0;5470.0
Kia;Picanto;Gasolina;Manual;Usado;09/2013;43000;86.0;5499.0
Fiat;Punto;Gasolina;Manual;Usado;03/2012;73860;69.0;5500.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;02/2015;25960;69.0;5590.0
SEAT;Mii;Gasolina;Manual;Usado;07/2012;73300;75.0;5599.0
Skoda;Fabia;Gasolina;Manual;Usado;11/2012;99100;60.0;5689.0
Kia;Picanto;Gasolina;Manual;Usado;05/2014;32753;69.0;5790.0
Renault;Twingo;Gasolina;Manual;Usado;05/2012;51170;75.0;5845.0
smart;forTwo;Gasolina;Automática;Usado;09/2010;34163;84.0;5880.0
Renault;Twingo;Gasolina;Manual;Usado;06/2017;46250;69.0;5880.0
Opel;Corsa;Gasolina;Manual;Usado;01/2014;98992;87.0;5899.0
Opel;Corsa;Gasolina;Manual;Usado;01/2014;98992;87.0;5899.0
Citroen;C1;Gasolina;Manual;Usado;12/2011;16000;68.0;4750.0
Chevrolet;Spark;Gasolina;Manual;Usado;08/2013;63176;68.0;4790.0
Skoda;Fabia;Gasolina;Manual;Usado;06/2011;69985;69.0;4795.0
Peugeot;308;Gasolina;Manual;Usado;08/2010;88192;156.0;4800.0
Skoda;Citigo;Gasolina;Manual;Usado;06/2013;74000;60.0;4880.0
Mazda;2;Gasolina;Manual;Usado;03/2011;89500;84.0;4890.0
Fiat;Punto Evo;Gasolina;Manual;Usado;07/2011;68550;69.0;4900.0
Renault;Clio;Gasolina;Manual;Usado;01/2010;91800;101.0;4950.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;04/2014;72000;71.0;4950.0
Fiat;Panda;Gasolina;Manual;Usado;06/2012;40102;69.0;4970.0
Daihatsu;Charade;Gasolina;Manual;Usado;05/2011;60800;99.0;4980.0
Ford;Fiesta;Gasolina;Manual;Usado;03/2012;78280;82.0;4980.0
Ford;;Gasolina;Manual;Usado;12/2011;47497;69.0;4980.0
Opel;Corsa;Gasolina;Manual;Usado;07/2010;68700;87.0;4980.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;09/2017;52700;71.0;4990.0
Volkswagen;up!;Gasolina;Manual;Usado;05/2012;39278;60.0;4990.0
Volkswagen;Polo;Gasolina;Manual;Usado;01/2010;67000;60.0;4990.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;03/2012;82700;69.0;4990.0
Suzuki;Splash;Gasolina;Manual;Usado;03/2010;42000;65.0;4990.0
Skoda;Fabia;Gasolina;Manual;Usado;04/2010;70811;86.0;4990.0
Opel;Astra;Gasolina;Manual;Usado;03/2017;54680;200.0;13950.0
Kia;ProCeed;Gasolina;Manual;Usado;07/2015;87650;204.0;13990.0
Mercedes-Benz;C 180;Gasolina;Automática;Usado;03/2012;50000;156.0;14399.0
Peugeot;RCZ;Gasolina;Manual;Usado;03/2013;78900;200.0;14399.0
Renault;Megane;Gasolina;Manual;Usado;07/2012;75500;265.0;14400.0
BMW;318;Gasolina;Manual;Usado;02/2013;82000;143.0;14500.0
Volkswagen;Scirocco;Diesel;Manual;Usado;10/2014;83600;150.0;14650.0
BMW;320;Diesel;Manual;Usado;06/2011;97798;184.0;14990.0
Kia;ProCeed / pro_cee'd;Diesel;Manual;Usado;10/2017;28000;136.0;14990.0
Hyundai;i30;Gasolina;Manual;Nuevo;09/2020;100;120.0;15099.0
Hyundai;i30;Gasolina;Manual;Nuevo;09/2020;100;120.0;15099.0
SEAT;Leon;Gasolina;Manual;Usado;06/2014;74750;280.0;15889.0
Mercedes-Benz;C 250;Gasolina;Automática;Usado;10/2012;94353;204.0;15900.0
Abarth;595;Gasolina;Manual;Nuevo;09/2020;5;145.0;15980.0
Abarth;595;Gasolina;Manual;Nuevo;09/2020;5;145.0;15980.0
BMW;220;Gasolina;Manual;Usado;04/2014;95700;184.0;15990.0
Audi;TT;Gasolina;Manual;Usado;05/2012;80000;211.0;15990.0
Audi;TT;Gasolina;Manual;Usado;02/2013;58834;160.0;15990.0
Opel;Astra;Gasolina;Manual;Usado;04/2018;14609;140.0;16488.0
Mercedes-Benz;C 250;Gasolina;Automática;Usado;01/2012;74320;204.0;16490.0
Nissan;Juke;Gasolina;Manual;Usado;02/2013;56000;117.0;8999.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;9190.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;9202.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;9202.0
Ford;EcoSport;Gasolina;Manual;Usado;11/2014;93154;125.0;9370.0
Renault;Captur;Gasolina;Manual;Usado;10/2015;80000;90.0;9400.0
Ford;EcoSport;Gasolina;Manual;Usado;07/2014;72000;125.0;9480.0
SEAT;Altea;Gasolina;Manual;Usado;05/2014;44487;105.0;9490.0
Kia;Sportage;Gasolina;Manual;Usado;01/2011;63000;135.0;9490.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;9677.0
Renault;Captur;Diesel;Manual;Usado;01/2014;86705;90.0;9740.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;1;101.0;9740.0
Opel;Mokka;Diesel;Manual;Usado;03/2013;87700;131.0;9760.0
Skoda;Yeti;Gasolina;Manual;Usado;01/2014;55800;105.0;9800.0
Ford;EcoSport;Gasolina;Manual;Usado;02/2016;78000;125.0;9850.0
Peugeot;2008;Gasolina;Manual;Usado;07/2014;50000;120.0;9890.0
Renault;Captur;Gasolina;Automática;Usado;10/2013;71500;120.0;9900.0
Nissan;Qashqai;Gasolina;Manual;Usado;03/2011;23400;117.0;9900.0
Opel;Mokka;Gasolina;Manual;Usado;01/2015;56150;116.0;9935.0
Hyundai;iX35;Gasolina;Manual;Usado;07/2012;72000;135.0;9945.0
Dacia;Logan;Gasolina;Manual;Usado;04/2015;84224;90.0;7570.0
Ford;C-Max;Diesel;Manual;Usado;04/2012;73850;95.0;7650.0
Opel;Astra;Diesel;Manual;Usado;05/2015;97984;110.0;7680.0
SEAT;Ibiza;Gasolina;Manual;Usado;06/2016;65577;75.0;7680.0
Dacia;Logan;Gasolina;Manual;Usado;07/2017;51937;73.0;7699.0
Lada;Kalina;Gasolina;Automática;Usado;10/2016;29000;98.0;7700.0
Renault;Clio;Diesel;Manual;Usado;12/2015;58800;75.0;7777.0
Opel;Meriva;Gasolina;Manual;Usado;07/2013;90371;120.0;7780.0
Volkswagen;Caddy;Gasolina;Manual;Usado;09/2011;98668;86.0;7980.0
SEAT;Ibiza;Gasolina;Manual;Usado;09/2014;76538;86.0;7990.0
Ford;Focus;Gasolina;Manual;Usado;03/2014;87576;125.0;7990.0
Peugeot;3008;Gasolina;Manual;Usado;04/2012;94500;156.0;7990.0
Renault;Clio;Gasolina;Manual;Usado;12/2016;40535;73.0;7995.0
Renault;Megane;Diesel;Manual;Usado;04/2013;86961;131.0;8390.0
Volkswagen;Golf Variant;Gasolina;Manual;Usado;05/2010;93385;160.0;8400.0
SEAT;Ibiza;Gasolina;Manual;Usado;04/2015;56122;105.0;8430.0
Volkswagen;Golf;Gasolina;Automática;Usado;03/2010;96700;122.0;8444.0
Hyundai;i30;Gasolina;Manual;Usado;10/2014;80549;99.0;8490.0
Dacia;Logan;Gasolina;Manual;Usado;02/2015;43950;75.0;8490.0
Skoda;Fabia;Gasolina;Manual;Usado;07/2016;81750;90.0;8690.0
Kia;Picanto;Gasolina;Manual;Usado;01/2013;61947;69.0;5780.0
Opel;Karl;Gasolina;Manual;Usado;01/2017;65139;75.0;5880.0
Ford;Fiesta;Gasolina;Manual;Usado;02/2011;92150;97.0;5890.0
Mazda;2;Gasolina;Manual;Usado;10/2010;40638;75.0;5900.0
Kia;Venga;Gasolina;Manual;Usado;05/2012;71234;90.0;5900.0
Volkswagen;Polo;Gasolina;Manual;Usado;02/2012;89900;69.0;5900.0
Chevrolet;Aveo;Gasolina;Manual;Usado;03/2012;77614;116.0;5990.0
Ford;;Gasolina;Manual;Usado;07/2014;48000;69.0;5990.0
Kia;Rio;Gasolina;Manual;Usado;12/2014;86800;86.0;5990.0
Hyundai;i20;Gasolina;Manual;Usado;03/2013;56776;86.0;5990.0
Ford;Fiesta;Gasolina;Manual;Usado;12/2011;32920;82.0;6250.0
Skoda;;Gasolina;Manual;Usado;10/2014;55430;86.0;6383.0
smart;forFour;Gasolina;Manual;Usado;05/2015;90740;71.0;6390.0
Ford;Fiesta;Gasolina;Manual;Usado;10/2013;60950;80.0;6440.0
Volkswagen;up!;Gasolina;Manual;Usado;01/2014;85200;60.0;6450.0
Citroen;C4;Gasolina;Manual;Usado;11/2012;63500;95.0;6480.0
Renault;Twingo;Gasolina;Manual;Usado;03/2015;21600;71.0;6489.0
Opel;Astra;Gasolina;Manual;Usado;03/2012;46750;87.0;6489.0
Dacia;Sandero;Gasolina;Manual;Usado;05/2015;76165;90.0;6490.0
Volkswagen;Polo;Gasolina;Manual;Usado;07/2012;87639;60.0;6490.0
Ford;C-Max;Diesel;Manual;Usado;12/2014;96611;116.0;8195.0
Opel;Meriva;Gasolina;Manual;Usado;08/2012;90700;140.0;8290.0
Opel;Meriva;Diesel;Manual;Usado;10/2016;99800;95.0;8380.0
Fiat;500L;Gasolina;Manual;Usado;03/2014;48700;105.0;8480.0
Renault;Kangoo;Diesel;Manual;Usado;04/2016;42393;75.0;8750.0
Ford;C-Max;Diesel;Manual;Usado;12/2014;78400;116.0;8800.0
Volkswagen;Touran;Gasolina;Manual;Usado;09/2011;99990;105.0;8890.0
SEAT;Altea XL;Gasolina;Manual;Usado;05/2012;64500;125.0;8890.0
Mazda;5;Diesel;Manual;Usado;03/2013;48600;116.0;8900.0
Renault;Scenic;Diesel;Automática;Usado;06/2013;92000;110.0;8945.0
Ford;B-Max;Gasolina;Manual;Usado;04/2015;64500;101.0;8955.0
Opel;Meriva;Gasolina;Manual;Usado;01/2015;96742;120.0;8980.0
Dacia;Lodgy;Gasolina;Manual;Usado;05/2015;48700;116.0;8990.0
Ford;B-Max;Gasolina;Manual;Usado;01/2015;37000;101.0;8990.0
Ford;C-Max;Diesel;Manual;Usado;02/2012;78338;116.0;8990.0
Opel;Meriva;Gasolina;Manual;Usado;12/2014;30000;120.0;8999.0
Citroen;C8;Diesel;Manual;Usado;06/2010;69000;136.0;8999.0
Ford;C-Max;Gasolina;Manual;Usado;06/2014;67765;101.0;9270.0
Ford;B-Max;Gasolina;Manual;Usado;04/2016;84982;101.0;9290.0
Volkswagen;up!;Gasolina;Manual;Usado;01/2016;57500;60.0;5910.0
Opel;Corsa;Gasolina;Manual;Usado;10/2014;95323;69.0;5920.0
Opel;Corsa;Gasolina;Manual;Usado;05/2013;85900;87.0;5945.0
SEAT;Ibiza;Gasolina;Manual;Usado;05/2012;65712;69.0;5950.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;03/2016;41719;69.0;5970.0
Citroen;C1;Gasolina;Manual;Usado;03/2014;29999;68.0;5980.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;06/2017;54620;71.0;5989.0
Renault;Twingo;Gasolina;Manual;Usado;11/2014;52100;71.0;5990.0
Fiat;Punto;Gasolina;Manual;Usado;01/2015;25346;69.0;5990.0
Fiat;500;Gasolina;Manual;Usado;09/2014;90900;69.0;5990.0
smart;forTwo;Gasolina;Automática;Usado;10/2011;70000;71.0;5990.0
Skoda;Citigo;Gasolina;Manual;Usado;08/2015;45000;75.0;5990.0
Skoda;Citigo;Gasolina;Manual;Usado;04/2016;97000;60.0;5999.0
Ford;Fiesta;Gasolina;Manual;Usado;02/2016;44000;60.0;5999.0
Ford;Fiesta;Gasolina;Manual;Usado;02/2012;94207;82.0;6250.0
Chevrolet;Aveo;Gasolina;Manual;Usado;05/2013;53800;116.0;6270.0
Renault;Twingo;Gasolina;Manual;Usado;09/2015;47488;71.0;6290.0
Renault;Twingo;Gasolina;Manual;Usado;09/2017;29100;69.0;6400.0
Renault;Twingo;Gasolina;Manual;Usado;09/2014;54077;75.0;6440.0
Volkswagen;Polo;Gasolina;Manual;Usado;01/2011;83350;105.0;6480.0
Mitsubishi;Colt;Gasolina;Manual;Usado;10/2010;76381;95.0;4990.0
Opel;Combo;Diesel;Automática;Usado;01/2010;100000;75.0;4999.0
Peugeot;207;Gasolina;Manual;Usado;05/2011;50000;95.0;4999.0
Peugeot;207;Gasolina;Manual;Usado;04/2011;58000;73.0;4999.0
Hyundai;i10;Gasolina;Manual;Usado;12/2015;90000;88.0;4999.0
Opel;Corsa;Gasolina;Manual;Usado;07/2012;99350;87.0;5250.0
SEAT;Mii;Gasolina;Manual;Usado;06/2015;81200;60.0;5429.0
Mercedes-Benz;;Gasolina;Manual;Usado;07/2013;54900;71.0;5440.0
Ford;Fiesta;Gasolina;Manual;Usado;03/2011;76510;60.0;5440.0
Dacia;Logan;Gasolina;Manual;Usado;05/2016;79556;73.0;5440.0
Volkswagen;up!;Gasolina;Manual;Usado;07/2016;85500;60.0;5450.0
Citroen;C1;Gasolina;Manual;Usado;04/2011;36032;68.0;5450.0
Opel;Corsa;Gasolina;Manual;Usado;06/2014;82267;69.0;5470.0
Suzuki;Splash;Gasolina;Manual;Usado;12/2010;55615;86.0;5470.0
Opel;Corsa;Gasolina;Manual;Usado;04/2015;64105;69.0;5480.0
Opel;Corsa;Gasolina;Manual;Usado;03/2013;94400;101.0;5489.0
Hyundai;i20;Gasolina;Manual;Usado;03/2012;50000;77.0;5490.0
Kia;Picanto;Gasolina;Manual;Usado;09/2013;43000;86.0;5499.0
Fiat;Punto;Gasolina;Manual;Usado;03/2012;73860;69.0;5500.0
Skoda;Fabia;Gasolina;Manual;Usado;06/2012;74000;69.0;5590.0
Volkswagen;Scirocco;Gasolina;Manual;Usado;03/2015;60000;220.0;16495.0
SEAT;Leon;Diesel;Automática;Usado;02/2017;64901;184.0;16500.0
Volkswagen;Scirocco;Gasolina;Manual;Usado;07/2016;59950;125.0;16777.0
Toyota;GT86;Gasolina;Manual;Usado;07/2013;77561;200.0;16870.0
Abarth;595;Gasolina;Manual;Nuevo;09/2020;5;145.0;16890.0
Volkswagen;Scirocco;Gasolina;Automática;Usado;01/2015;59000;179.0;16950.0
Hyundai;i30;Gasolina;Manual;Usado;03/2018;7497;140.0;16979.0
BMW;320;Diesel;Automática;Usado;01/2013;79400;184.0;16980.0
BMW;330;Gasolina;Manual;Usado;11/2010;58600;272.0;16990.0
Volkswagen;Scirocco;Gasolina;Automática;Usado;03/2015;67000;179.0;16999.0
Abarth;595;Gasolina;Manual;Nuevo;09/2020;5;145.0;17290.0
Mercedes-Benz;CLA 200;Gasolina;Manual;Usado;10/2013;80000;156.0;17450.0
Mercedes-Benz;CLS 300;Gasolina;Automática;Usado;03/2011;96071;231.0;17490.0
Mercedes-Benz;CLA 180;Gasolina;Manual;Usado;11/2015;68068;122.0;17740.0
Opel;Astra;Gasolina;Automática;Usado;04/2018;5191;140.0;17970.0
Audi;TT;Gasolina;Automática;Usado;10/2012;45352;211.0;17980.0
Volkswagen;CC;Diesel;Automática;Usado;02/2015;98300;177.0;18400.0
Volkswagen;Scirocco;Diesel;Manual;Usado;05/2017;50284;150.0;18480.0
Mercedes-Benz;C 200;Gasolina;Automática;Usado;01/2013;80500;184.0;18890.0
Chevrolet;Trax;Gasolina;Manual;Usado;04/2014;34528;140.0;9950.0
Nissan;Qashqai;Gasolina;Automática;Usado;03/2012;81200;141.0;9950.0
Skoda;Yeti;Gasolina;Manual;Usado;05/2013;72985;122.0;9970.0
Dacia;Duster;Gasolina;Manual;Usado;08/2017;22066;114.0;9979.0
Mitsubishi;ASX;Diesel;Manual;Usado;10/2012;84155;150.0;9980.0
